# Merged GW transfer function
# Convention: T_Omega(k) = Omega_GW,0 / P_T
# h used for convention conversion = 0.675
# Kite used below k = 1.00000000e+08 Mpc^-1
# Saikawa-Shirai used above k = 1.00000000e+08 Mpc^-1
# 
# Columns:
# 1: k [Mpc^-1]
# 2: f [Hz]
# 3: Omega_GW / P_T
1.0000000000000000e-02 1.5462876577308037e-17 6.0131303649796373e-06
1.0024041426363805e-02 1.5500051538168632e-17 6.0026203281688568e-06
1.0048140651745769e-02 1.5537315872937634e-17 5.9921286613030229e-06
1.0072297815102979e-02 1.5574669796482678e-17 5.9816553322742786e-06
1.0096513055726590e-02 1.5612113524187950e-17 5.9712003090308539e-06
1.0120786513242634e-02 1.5649647271955462e-17 5.9607635595770330e-06
1.0145118327612824e-02 1.5687271256206280e-17 5.9503450519730110e-06
1.0169508639135363e-02 1.5724985693881795e-17 5.9399447543348118e-06
1.0193957588445747e-02 1.5762790802444926e-17 5.9295626348341959e-06
1.0218465316517584e-02 1.5800686799881431e-17 5.9191986616985253e-06
1.0243031964663404e-02 1.5838673904701127e-17 5.9088528032107252e-06
1.0267657674535458e-02 1.5876752335939144e-17 5.8985250277091476e-06
1.0292342588126568e-02 1.5914922313157229e-17 5.8882153035874842e-06
1.0317086847770917e-02 1.5953184056444971e-17 5.8779235992946716e-06
1.0341890596144883e-02 1.5991537786421096e-17 5.8676498833347993e-06
1.0366753976267858e-02 1.6029983724234723e-17 5.8573941242669800e-06
1.0391677131503069e-02 1.6068522091566637e-17 5.8471562907053084e-06
1.0416660205558415e-02 1.6107153110630593e-17 5.8369363513187277e-06
1.0441703342487285e-02 1.6145877004174569e-17 5.8267342748309428e-06
1.0466806686689395e-02 1.6184693995482058e-17 5.8166397590416218e-06
1.0491970382911617e-02 1.6223604308373368e-17 5.8067751634412176e-06
1.0517194576248815e-02 1.6262608167206890e-17 5.7969272974734522e-06
1.0542479412144685e-02 1.6301705796880424e-17 5.7870961327661023e-06
1.0567825036392585e-02 1.6340897422832436e-17 5.7772816409950308e-06
1.0593231595136384e-02 1.6380183271043383e-17 5.7674837938841680e-06
1.0618699234871304e-02 1.6419563568037025e-17 5.7577025632053869e-06
1.0644228102444758e-02 1.6459038540881702e-17 5.7479379207784360e-06
1.0669818345057204e-02 1.6498608417191664e-17 5.7381898384708505e-06
1.0695470110262997e-02 1.6538273425128389e-17 5.7284582881978819e-06
1.0721183545971213e-02 1.6578033793401860e-17 5.7187432419224176e-06
1.0746958800446542e-02 1.6617889751271929e-17 5.7090446716548639e-06
1.0772796022310120e-02 1.6657841528549636e-17 5.6993625494531283e-06
1.0798695360540385e-02 1.6697889355598487e-17 5.6896968474225026e-06
1.0824656964473944e-02 1.6738033463335846e-17 5.6800475377155588e-06
1.0850680983806428e-02 1.6778274083234215e-17 5.6704145925321234e-06
1.0876767568593359e-02 1.6818611447322593e-17 5.6607979841191635e-06
1.0902916869251015e-02 1.6859045788187819e-17 5.6511976847707092e-06
1.0929129036557293e-02 1.6899577338975891e-17 5.6416136668277813e-06
1.0955404221652584e-02 1.6940206333393331e-17 5.6322169410954026e-06
1.0981742576040641e-02 1.6980933005708527e-17 5.6229529664612044e-06
1.1008144251589455e-02 1.7021757590753068e-17 5.6137042293838797e-06
1.1034609400532127e-02 1.7062680323923133e-17 5.6044707048004342e-06
1.1061138175467751e-02 1.7103701441180803e-17 5.5952523676890555e-06
1.1087730729362288e-02 1.7144821179055468e-17 5.5860491930691293e-06
1.1114387215549453e-02 1.7186039774645153e-17 5.5768611560010978e-06
1.1141107787731598e-02 1.7227357465617907e-17 5.5676882315864274e-06
1.1167892599980593e-02 1.7268774490213166e-17 5.5585303949675650e-06
1.1194741806738729e-02 1.7310291087243134e-17 5.5493876213278048e-06
1.1221655562819581e-02 1.7351907496094133e-17 5.5402598858913008e-06
1.1248634023408931e-02 1.7393623956728024e-17 5.5311471639229182e-06
1.1275677344065649e-02 1.7435440709683560e-17 5.5220494307282457e-06
1.1302785680722585e-02 1.7477357996077794e-17 5.5129666616534618e-06
1.1329959189687480e-02 1.7519376057607448e-17 5.5038988320852953e-06
1.1357198027643858e-02 1.7561495136550326e-17 5.4948459174509789e-06
1.1384502351651933e-02 1.7603715475766694e-17 5.4858078932181633e-06
1.1411872319149512e-02 1.7646037318700692e-17 5.4767847348948307e-06
1.1439308087952909e-02 1.7688460909381741e-17 5.4677764180292491e-06
1.1466809816257849e-02 1.7730986492425937e-17 5.4590271780554720e-06
1.1494377662640380e-02 1.7773614313037462e-17 5.4503221404766140e-06
1.1522011786057792e-02 1.7816344617010019e-17 5.4416309840668414e-06
1.1549712345849533e-02 1.7859177650728219e-17 5.4329536866910385e-06
1.1577479501738118e-02 1.7902113661169027e-17 5.4242902262494222e-06
1.1605313413830068e-02 1.7945152895903174e-17 5.4156405806774160e-06
1.1633214242616815e-02 1.7988295603096580e-17 5.4070047279456614e-06
1.1661182148975643e-02 1.8031542031511809e-17 5.3983826460599020e-06
1.1689217294170594e-02 1.8074892430509450e-17 5.3897743130609550e-06
1.1717319839853425e-02 1.8118347050049629e-17 5.3811797070246796e-06
1.1745489948064524e-02 1.8161906140693394e-17 5.3725988060618691e-06
1.1773727781233843e-02 1.8205569953604169e-17 5.3640315883182206e-06
1.1802033502181845e-02 1.8249338740549239e-17 5.3554780319743092e-06
1.1830407274120431e-02 1.8293212753901142e-17 5.3469381152454760e-06
1.1858849260653889e-02 1.8337192246639176e-17 5.3384118163817976e-06
1.1887359625779834e-02 1.8381277472350823e-17 5.3298991136680660e-06
1.1915938533890160e-02 1.8425468685233241e-17 5.3213999854236578e-06
1.1944586149771974e-02 1.8469766140094706e-17 5.3129144100025631e-06
1.1973302638608560e-02 1.8514170092356084e-17 5.3044912210128241e-06
1.2002088165980324e-02 1.8558680798052312e-17 5.2962942902337216e-06
1.2030942897865755e-02 1.8603298513833886e-17 5.2881100260179791e-06
1.2059867000642373e-02 1.8648023496968307e-17 5.2799384087922143e-06
1.2088860641087695e-02 1.8692856005341596e-17 5.2717794190132595e-06
1.2117923986380195e-02 1.8737796297459758e-17 5.2636330371681506e-06
1.2147057204100269e-02 1.8782844632450290e-17 5.2554992437741015e-06
1.2176260462231199e-02 1.8828001270063674e-17 5.2473780193783958e-06
1.2205533929160128e-02 1.8873266470674871e-17 5.2392693445584070e-06
1.2234877773679010e-02 1.8918640495284787e-17 5.2311731999215192e-06
1.2264292164985615e-02 1.8964123605521855e-17 5.2230895661050571e-06
1.2293777272684483e-02 1.9009716063643476e-17 5.2150184237763036e-06
1.2323333266787908e-02 1.9055418132537570e-17 5.2069597536323790e-06
1.2352960317716918e-02 1.9101230075724058e-17 5.1989135364002666e-06
1.2382658596302259e-02 1.9147152157356422e-17 5.1908797528366991e-06
1.2412428273785371e-02 1.9193184642223184e-17 5.1828583837281793e-06
1.2442269521819392e-02 1.9239327795749476e-17 5.1748494098908635e-06
1.2472182512470136e-02 1.9285581883998538e-17 5.1668528121705907e-06
1.2502167418217084e-02 1.9331947173673264e-17 5.1588685714427614e-06
1.2532224411954385e-02 1.9378423932117745e-17 5.1510174545535474e-06
1.2562353666991852e-02 1.9425012427318803e-17 5.1433073777238451e-06
1.2592555357055958e-02 1.9471712927907542e-17 5.1356088413878892e-06
