# Figure-8-style primordial GW spectrum
# V_inf^(1/4) = 1.50000000e+16 GeV
# h = 0.675
# P_T = 9.7269832849655301e-11
# 
# Columns:
# 1: f [Hz]
# 2: k [Mpc^-1]
# 3: Omega_GW h^2
1.5462876577308037e-17 1.0000000000000000e-02 2.6649332452060455e-16
1.5612136021924729e-17 1.0096527605242437e-02 2.6463476667858749e-16
1.5762836232216290e-17 1.0193986968342259e-02 2.6278917065187420e-16
1.5914991115548748e-17 1.0292387083334929e-02 2.6095644604313992e-16
1.6068614713532605e-17 1.0391737031073180e-02 2.5913650308550350e-16
1.6223721203318672e-17 1.0492045980065045e-02 2.5734664687297311e-16
1.6380324898906403e-17 1.0593323187319967e-02 2.5560505815879148e-16
1.6538440252464857e-17 1.0695577999203086e-02 2.5387525561430005e-16
1.6698081855666411e-17 1.0798819852297763e-02 2.5215715947681247e-16
1.6859264441033381e-17 1.0903058274276444e-02 2.5045069052343350e-16
1.7022002883297573e-17 1.1008302884779908e-02 2.4878887253174293e-16
1.7186312200773032e-17 1.1114563396305030e-02 2.4715581225877134e-16
1.7352207556741980e-17 1.1221849615101087e-02 2.4553347145981815e-16
1.7519704260854187e-17 1.1330171442074736e-02 2.4392177977182001e-16
1.7688817770539784e-17 1.1439538873703709e-02 2.4232066729357984e-16
1.7859563692435791e-17 1.1549962002959347e-02 2.4077726619404367e-16
1.8031957783826354e-17 1.1661451020238028e-02 2.3924492007289989e-16
1.8206015954096903e-17 1.1774016214301585e-02 2.3772232605448651e-16
1.8381754266202360e-17 1.1887667973226801e-02 2.3620942207481758e-16
1.8559188938149508e-17 1.2002416785364081e-02 2.3472003755059442e-16
1.8738336344493658e-17 1.2118273240305365e-02 2.3327234662951468e-16
1.8919213017849788e-17 1.2235248029861383e-02 2.3183358468196802e-16
1.9101835650418249e-17 1.2353351949048361e-02 2.3040369663641497e-16
1.9286221095525197e-17 1.2472595897084224e-02 2.2898262776098146e-16
1.9472386369177920e-17 1.2592990878394444e-02 2.2759791720478677e-16
1.9660348651635144e-17 1.2714548003627571e-02 2.2623809004025799e-16
1.9850125288992516e-17 1.2837278490680589e-02 2.2488638742247381e-16
2.0041733794783394e-17 1.2961193665734155e-02 2.2354276080978098e-16
2.0235191851595070e-17 1.3086304964297824e-02 2.2220716195054589e-16
2.0430517312700650e-17 1.3212623932265414e-02 2.2091947511776174e-16
2.0627728203706561e-17 1.3340162226980463e-02 2.1964137930332225e-16
2.0826842724216132e-17 1.3468931618312068e-02 2.1837067771662119e-16
2.1027879249509079e-17 1.3598943989741050e-02 2.1710732757948565e-16
2.1230856332237303e-17 1.3730211339456623e-02 2.1586232920228080e-16
2.1435792704137015e-17 1.3862745781463655e-02 2.1465357023023815e-16
2.1642707277757377e-17 1.3996559546700593e-02 2.1345157991606097e-16
2.1851619148205881e-17 1.4131664984168213e-02 2.1225632035746319e-16
2.2062547594910489e-17 1.4268074562069228e-02 2.1106775386439761e-16
2.2275512083398891e-17 1.4405800868958938e-02 2.0990884536519468e-16
2.2490532267094838e-17 1.4544856614906940e-02 2.0877162774959753e-16
2.2707627989131884e-17 1.4685254632670100e-02 2.0764057120788447e-16
2.2926819284184592e-17 1.4827007878876806e-02 2.0651564236136802e-16
2.3148126380317436e-17 1.4970129435222679e-02 2.0539680801219556e-16
2.3371569700851568e-17 1.5114632509677815e-02 2.0431784758781965e-16
2.3597169866249563e-17 1.5260530437705686e-02 2.0324733493460179e-16
2.3824947696018368e-17 1.5407836683493790e-02 2.0218243117632044e-16
2.4054924210630666e-17 1.5556564841196214e-02 2.0112310692546418e-16
2.4287120633464718e-17 1.5706728636188150e-02 2.0007804920715842e-16
2.4521558392762973e-17 1.5858341926332557e-02 1.9906464387426739e-16
2.4758259123609572e-17 1.6011418703259020e-02 1.9805637149010672e-16
2.4997244669926946e-17 1.6165973093654976e-02 1.9705320605603464e-16
2.5238537086491682e-17 1.6322019360569397e-02 1.9605512170509363e-16
2.5482158640969833e-17 1.6479571904729044e-02 1.9508126135455747e-16
2.5728131815971900e-17 1.6638645265867447e-02 1.9412643177848120e-16
2.5976479311127653e-17 1.6799254124066708e-02 1.9317627563701859e-16
2.6227224045180941e-17 1.6961413301112237e-02 1.9223077005594013e-16
2.6480389158104763e-17 1.7125137761860598e-02 1.9128989227297463e-16
2.6735998013236730e-17 1.7290442615620523e-02 1.9038226481195046e-16
2.6994074199435159e-17 1.7457343117547285e-02 1.8948217455772363e-16
2.7254641533255973e-17 1.7625854670050525e-02 1.8858633975484655e-16
2.7517724061150599e-17 1.7795992824215644e-02 1.8769474028437428e-16
2.7783346061685109e-17 1.7967773281238959e-02 1.8681416974489314e-16
2.8051532047780743e-17 1.8141211893876664e-02 1.8596135183519652e-16
2.8322306768976122e-17 1.8316324667907818e-02 1.8511242709049954e-16
2.8595695213711217e-17 1.8493127763611433e-02 1.8426737773827015e-16
2.8871722611633438e-17 1.8671637497257816e-02 1.8342618608710883e-16
2.9150414435925924e-17 1.8851870342614336e-02 1.8260480032641553e-16
2.9431796405658374e-17 1.9033842932465683e-02 1.8180020771443002e-16
2.9715894488160499e-17 1.9217572060148846e-02 1.8099916029550718e-16
3.0002734901418402e-17 1.9403074681102861e-02 1.8020164244882943e-16
